Edad,Sexo,Unidad,Periodo,Total
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T3,"2.376,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T2,"2.393,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2021T1,"2.376,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T4,"2.411,0"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T3,"2.400,0"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T2,"2.291,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2020T1,"2.413,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T4,"2.445,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T3,"2.451,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T2,"2.480,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2019T1,"2.466,7"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T4,"2.483,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T3,"2.490,9"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T2,"2.503,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2018T1,"2.492,0"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T4,"2.536,1"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T3,"2.527,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T2,"2.568,5"
De 30 a 34 años,Ambos sexos,Valor absoluto,2017T1,"2.598,8"
De 30 a 34 años,Ambos sexos,Valor absoluto,2016T4,"2.642,0"
